,reviews
29,"So glad I took a chance and ordered these beautiful earrings. I have minimalist taste, especially when it comes to jewelry. The earrings can be worn around the house in quarantine with a sweatshirt or in the event I go somewhere special again some day, they can easily compliment the dressiest of outfits. They make me feel pretty and I highly recommend them to anyone. This will be my go to shop for gifts for friends or when I want to treat myself."
30,I love these earrings! This is the fourth pair that I've ordered from MilysDesign. They're so comfortable and light. I get compliments every time I wear them.
31,These are absolutely gorgeous!!! Thank you so much!
32,love these so much! i wear them daily. they’re great quality and so pretty
33,"Even better in person! Loved the style
And fit."
34,Super cute!
35,So adorable!!!
36,Super pretty and delicate earrings.  Just 4 of 5 because they don’t always stay in place on my ears; I find them trailing off the end of my earlobes.  Which is still pretty but up to your personal preference. My experience with the shop was very positive. Quick shipping and well packaged. Will shop here again.
37,Very cute earrings. They stay in nicely (ear climbers are tricky so sometimes you do have to pinch the very end). These are a simple design that can be worn with pretty much anything!
38,These are even more beautiful in person! I love them!
39,Love them! They look so pretty and I can’t wait to show them off! I definitely want to purchase more for friends and family in the future!
40,"one of my favorite earrings i’ve bought so far. i love it, it has a very classy look to it but i’d wear it everyday!"
41,"I bought these adorable earrings as a birthday gift for my granddaughter. I gave her two sets and she shared the second set with me, Grammy!!  
The only thing I would have to say in regards to making them better.... they stay on your ears much more secure with a larger back on the earrings. They tend to slip down on your ear with the small earring back that they come with.
Still rate them a 5 star!!  We love  ‘em!!"
42,"I  really like the earrings,had a few compliments  already (very pretty)"
43,Beautiful earrings!! Will buy from this shop again! ❤️
44,"The owner of this store was absolutely lovely to work with - thank you! The earrings are gorgeous, too."
45,"I'm super impressed with Lucy's professionalism and how easy she is to work with. One of my earrings arrived missing a stone, and she sent me a replacement in two days. She didn't ask me to send to flawed piece back to her either, which I appreciate (shipping fees). I'll definitely buy from her again, and would encourage my friends to buy from her too. 
I love the dainty sparkle of the earrings in my chubby ear next to my larger diamonds; they look like a trellis leading to a flower. I'm very, very happy with my purchase ❣️"
46,"Love these ear climbers.
Very petite and feminine!"
47,Beautiful product. I got the post back first and it didn’t sit right so seller let me return and meanwhile I purchased a wire back which fit perfectly. Very happy!
48,They are absolutely beautiful! Very elegant and pretty! I can't wait to wear them to work. Will be buying more!
49,Beautiful look great received lots of compliments
50,"Loved it! I bought it to put in my helix piercing, but can’t change that one yet. Until then, wearing it like this and I love it 🥰 thanks again!"
51,Stunning. So sparkly and dainty. love it!
52,These earrings are gorgeous. Love them!
53,Very pretty indeed!  All the way from the States and worth the wait!
54,Absolutely delicate and beautiful! Prettier in person even than in the photos!
55,Adorable earrings! Such a fan of these crawlers.
56,"soo pretty, I love them"
57,Absolutely gorgeous!!! Will be purchasing more!
58,I love this purchase! They're beautiful earrings and came in a gift bag ready for giving . . . although I gave these to myself. Would definitely buy again from this seller.
59,"These earrings are so beautiful. They're easy to put on and look really pretty. They are minimal, but bold at the same time.  I can dress them up, wear them to work, or wear them around the house. Thank you. They're perfect!! 🖤🖤"
60,Love these!! Second purchase from this seller. These can be dressed up or for every day. Beautiful!
61,"Love these!! Most ear climbers are too long and bulky, but these are just right"
62,"Cute, comfortable and the perfect size! I have bought 3 pairs of earrings from this seller and they are all staples."
63,its simple and pretty. Easy to put in too
64,Arrived in great condition and the design is sooo beautiful!!
65,Beautiful!! Love the minimalist look. Would buy again!
66,This is one of two pairs I ordered for Christmas presents and they are gorgeous. The pictures do not do them justice. Thank you!
67,"Super fast shipping, beautiful earrings so happy with my purchase."
68,Loved these enough to wear them for my wedding!
69,"The earrings are gorgeous! They shipped quickly, are comfortable, and go with every outfit!"
70,"Love it!  Gorgeous and comfortable to wear, so pretty thanks!"
71,"Even better in person! Favorite crawler so far, stay in place nicely."
72,"They are so pretty!! Unfortunately my ears start itching when I have them on so I  guess I'm allergic to them. Also, I chose the post back and the tail of the earrings kept sliding down instead of staying up in place. I do not recommend the post back. If your ears aren't as sensitive as mine to certain earrings then I do recommend these cuz they are really pretty, its just a shame it didn't work out for me."
73,Gorgeous earrings! Exactly what I wanted and was looking for! THANK YOU!!
74,"ABSOLUTELY PERFECT!!!!! They are stunning, comfortable, exactly as pictured."
75,Absolutely gorgeous! So dainty and classy!
76,These earrings are delicate and gorgeous. I will be buying from this shop again.
77,Unique and understated!  Easy to put on too.
78,Super cute and well made.
79,Even more pretty and delicate in real life. Very quick shipping!
80,"Delicate, beautiful, sparkly and awesome!"
81,Just as beautiful as pictured.
82,Love them. They are exactly as they look in the picture. Super comfortable.
83,"Very pretty,. Love them and great price!"
84,I bought these as a gift and they were perfect! So simply but beautiful. Great quality and arrived quickly!
85,Amazing! Love these
86,"Super cute I love them, thank you! :)"
87,Really beautiful. So unique.Fits perfectly.
88,Beautiful!! These are beautiful and delicate and exactly as described
89,These are as beautiful as pictured I love them and wear them often!
90,So beautiful and dainty. I can’t wait to wear them to dress up a cute outfit! Shipping was very quick. Thank you!
91,Very dainty and elegant. Feel comfortable to wear. Shipping was quick.
92,Thanks. They’re pretty.
93,Beautiful!! I’ll be wearing these daily!!
94,Really like these delicate looking crawlers. Delivered quickly.
95,"I received these earring quickly, which is great because they’re meant to be a present. They’re also very cute!"
96,Great earings and Lucy is very nice
97,"This is exactly what I wanted. They're perfect, thank you!"
98,The backing of one of the earrings accidentally broke and the seller was so kind to send another one so quickly. These earrings are so cute!
99,The earrings are lovely! Love the design. Shipped quickly. Thanks so much!
100,Very pretty. Looks exactly like shown.
101,"Super cute, fits perfectly and is exactly as shown on picture."
102,These were beautiful. It was a hard decision between these and the first earrings in my order in terms of what to buy for my sisters!
103,My daughter loves these earrings!
104,Beautiful earrings and quick delivery!
105,Awesome quality and came quickly! Love the earrings!
106,Thanks. Got them on time and my daughter loves them.
107,Beautiful earrings! My new go-to pair.
108,Super cute earrings and super fast shipping!
109,Very pretty! Great service
110,"Pretty, excited to wear them"
111,Just as beautiful as in the photo!
112,Beautiful and the posts fit well and keep the earrings on.
113,These earrings are just as beautiful as the picture. Cannot wait to wear them!
114,"Bought these as bridesmaids gifts, loved them so much I kept one pair for myself and ordered another lol"
115,Beautiful Earrings! Came very fast!
116,Very pretty and delicate. A little hard to get on.  But lovely
117,"beautiful, works well on my ear."
118,So beautiful! My sister will love these for Christmas and I can't wait to give them to her! Thank you for such beautiful earrings!
119,Beautiful earrings! Fast shipping. Thank you!
120,Really delicate and beautifully packaged.
121,Great earrings! Came fast and nicely wrapped!
122,These are beautiful and sparkly. But the third time I tried wearing them the post broke off.
123,One earring came broke - sent another with no problems. Excellent customer service.....
124,"Beautiful earrings, I love wearing them!"
125,They are as pictured and look very cute in person.  Fast shipping.
126,The recipient of these earrings loved them.
127,Beautiful earrings and fast shipping!
128,Bought these earrings for my daughter.  She loves them and the look very nice.
129,"Exactly as pictured, and a very helpful seller :) Bought for bridesmaids, but may buy some more for myself!"
130,"Lovely and feminine earrings, received quickly."
131,So cute - wear them everyday :)
132,Bought as a christmas present and it was very well received.
133,So cute! Cant wait to wear
134,"A+++++++ seller, looks very expensive. Will purchase again from this seller."
135,Smaller than expected
136,"Beautiful and dainty BUT the back of the earrings weren't as long as I expected them to be and subsequently, one fell out while wearing. I didn't even have them a week before losing one not. I don't know if you necessarily blame the product for that or not though?"
137,This is my second pair of aspera earrings and I’m obsessed. I love minimalist jewelry and theirs is unique and beautiful. Thank you.
138,These mini pin earrings were exactly what I was looking for to complete my daily earring look!  I'm wearing them in my double piercings and they are perfect.
139,"Quick to respond, rapid shipping and beautiful packaging! Earrings are the most dainty, beautiful, flattering and quality earrings! Bought theses for my wedding day earrings and couldn't be happier. Wear them whenever I have the chance now:)
 Thank you so much!"
140,Really pretty little earring. Perfectly sized for my top lobe piercing. Great customer service as well!
141,Beautiful!
142,"I really love my earrings. They arrived quickly in eco-friendly packaging (love that). Also I have had another style of this earring and it fell out. However, this style is great, stays in place and it will not fall out. Overall a great product :) WIll shop at this store again soon."
143,"I ordered the smallest size and they are so simple and pretty, hanging just below my earlobe. I love them."
144,These were a lot smaller than I was expecting it they are really cute. Great quality.
145,"Super cute earrings, but more importantly I was shocked by how comfortable they are, nothing pokes into your head like the backs of normal earrings. The only issue I have is that they can definitely fall out easily so be careful if you are for some reason moving around on a bed 🤷🏼‍♀️"
146,Simple and beautiful earrings. Love them.
147,"Beautiful little earrings! I'm wearing them for my wedding so I wish it had a little box or what not to keep it in until then, but I really appreciated the eco-friendly packaging and super fast service!! Will be buying another pair :)"
148,Adorable earrings! The shipped quickly and seem to be really good quality.
149,Beautiful. Shipping was a little slow. But the earrings were well worth the wait :)
150,They are perfect. thank you!
151,"They're pretty, but they're very flimsy. I don't think they're worth the price I paid for them, to be honest."
152,Great item at an amazing price! Came packaged professionally. The seller was more than happy to answer all my questions before I purchased the item.
153,"I don't know if I'm wearing it wrong, but it doesn't stay on very well so I haven't worn it, I'm afraid I'll lose it. Eh."
154,"Merci beaucoup, envoi soigné et rapide"
155,Sweet and oh-so-nicely package. Thanks so much!
156,"love these earrings, can't wait to wear them!"
157,So fine and delicate.  Shipped on time with care.
158,"gorgeous! arrived very quickly, thank you!"
159,I love these earrings! I could wear this everyday. I bought both yellow and white gold. I just had to change the lock because I prefer the usual one. Very easy to work with seller with the returns. Kudos!
160,I love these earrings!!! I don't know why simulated diamonds get a bad rap. These earrings sparkle and shine like my natural ones. I'm SOLD!
161,love them! (second ear hole earring) really good quality and shipped out to me soo fast! thank you :)
162,"Beautiful, sparkly lab created diamond studs!!!  Very affordable and better than CZ.  Shipping was very quick ...I'm very pleased....thank you!"
163,"Beautiful, sparkly lab created diamond studs!!!  Very affordable and better than CZ.  Shipping was very quick ...I'm very pleased....thank you!"
164,Beautiful! A little bigger than expected but it still fits my small ears. Love them! Exactly what I wanted!
165,"Love them so much!!

Just as pictured"
166,"These earrings are gorgeous, bright and sparkly. The 4mm were slightly big for my 18 month old, but she’ll grow into them soon."
167,"Absolutely gorgeous earrings! They glisten like nothing I’ve ever seen. The backs are pretty small, so I’ve had to order larger backs to keep the earrings from drooping, but that’s a small price to pay. My new favorite earrings!"
168,"So far, these are perfect! Just the right size, my skin hasn’t been allergic to them as happens often and just beautiful! Took awhile to arrive, but expected with the holidays."
169,The earrings are beautiful!  The quality is better than expected!   Will definitely order more from this seller!
170,"Stunning, lovely setting, arrived in a tiny cute little box. Great price!"
171,They are gorgeous! Thank you so much!
172,"I purchased it and it was shipped out the same day! Really appreciate the fast response. Earnings are beautiful, just as described and pictures! I wore it right when I received it. Thank you so much. I am looking into buying more pieces from this seller."
173,Perfect and beautiful!
174,I hope she loves em!!!
175,This is a high quality earrings. Buy it now!!!
176,Delivery was fast and package well.  Came in a pretty box.  Loved the earring can't wait to wear.  The only thing is the backing is a bit small to screw on.
177,Absolutely gorgeous earrings!
178,"Beautiful earrings, I love them. A perfect everyday wear type of pair ❤️❤️❤️"
179,"Thank you so much ! Came just in time for christmas, beautiful earrings !!"
180,Great quality!! It’s what I was looking for.
181,Incredible earrings I know my girlfriend will love them! Came in a nice little box perfect for a gift.
182,fast shipping and beautiful earrings
183,"I was looking for an earring I could leave in and not worry about losing or falling off. No one wants to lose their real diamonds. These have stayed in for 4 days now and have not bothered my ears. I have not received compliments on them, my sister told me they look fake and she wouldn’t buy them. But that’s what sisters do. I think these are just fine for my purposes and will be keeping them in. Fast shipping as well"
184,"These are great I have very sensitive piercings and I have yet to have an issue and leave them in over night, also no discoloration, highly recommend."
185,These are way smaller then I thought they were... Was very Disappointed... Thanks for your Quick delivery.
186,These were great! I got the two ctw and they were large while not intrusive.
187,Beautiful earrings but very hard to handle
188,"I needed help with my order, but I have yet to hear back from the owner."
189,They came on time since they came from overseas. I love the vintage opal because it is my birthstone and it is gorgeous. the craftsmanship is unbelievable and they fit perfect without any slippage. I recommend this product to any and everyone/. The price is worth it which wasn't high at all. thank you so much for this good quality product...         sherry
190,The pictures don’t do it justice! Beautiful piece of jewelry! I get so many compliments!
191,Absolutely gorgeous! I've gotten so many compliments. Highly recommend!
192,"I love them! Very subtle and elegant!  It did take quite a while for me to receive them.  But since I ordered them during the holiday seasons and it's overseas shipping, I understand the delay.  The owner responded quickly to my message regarding the shipping delay.  So I am very happy with the purchase:)"
193,Very lovey petite design. I adore them! The perfect ear decor for any occasion!
194,"dispatch and packaging was impecabble and very tasteful
i love the earrings, the only tricky bit is making them stay up when it catches on my hair"
195,"Even more beautiful than in the photos. The opals are mesmerizing! 

I bought them as a gift for my mums birthday - they were delivered quickly and on time as promised!"
196,They are stunning I’m obsessed!
197,"So schön und mit dem tollen Opal ein richtiger Hingucker. Ich habe mir im Nachgang noch den passenden Armreif bestellt. 
Da man den Bügel leicht biegen kann, kann man die Halterung schön ans Ohr anpassen."
198,"It did ship on time and was very nicely wrapped and boxed! Lovely earrings...but the first time I attempted to put them in my ears, the post s broke off. Now I have to try to glue these tiny things on so that I can wear them...they obviously were not flexible , at all! Very disappointing. Especially because they were so important to me...the moon phases...and unique! :(:("
199,"Einfach wunderschöne und auch hochwertig verarbeitete Ohrringe! Ich bin ganz begeistert.
DIe Lieferung war schnell und unkompliziert.

Vielen Dank!"
200,I love these earrings. They are so cool looking!!! Very happy with my purchase.
201,"So pretty! They go with everything too! The shop sent me a nice thank you card for Holidays and a little gift box that reminds me they are hand made! Also, I recieved a polishing cloth to keep them nice. I love them! I will definitely order from this person and business again!"
202,"Ein wunderbarer Artikel, genau wie auf dem Foto, gefällt mir sehr gut, ist sehr gut verarbeitet. Die Lieferung war prompt, die Ware prima verpackt. Alles wunderbar, vielen Dank 😊"
203,"These are beyond adorable!!! Shipping took a lot longer than I expected, but when I contacted the seller, she explained why and told me a more accurate time I would expect them. Once they shipped out, they arrived within 1-2 weeks. Definitely worth the wait!!!!!"
204,"Bought for my daughter for Valentine's  day and could not be happier with my purchase. Shipped fast, lovely packaging. Earnings are stunning. Delicate and glowing. Perfect for my girl who wears minimal jewelry and who I love to the moon."
205,These earrings are beautiful. My wife loved them! Seem to be pretty sturdy construction. Definitely not cheap feeling! Thank you!
206,I absolutely love these earrings.. Havent taken them out since I got them! I will definitely be purchasing more jewelry off of her!
207,"The earrings are absolutely beautiful! I bought them for my girlfriend as a christmas present and I know she's going to love them. Surprisingly speeding shipping, even from Germany! The holiday card was a lovely touch too."
208,The Moon Phase ear climbers are beautiful and so dainty!  They will be a Christmas gift for my daughter and I know she will love them.  Thanks to VillaSorgenfrei for the quick response when I was sent the wrong item...in no time I received the correct one and love it!!
209,Wow! Absolutely beautiful! Highly recommend. Will be a return customer.  Thank you so much for the cloth as well.  5 Stars.
210,"These earrings are absolutely gorgeous and SO very worth the wait from Villa Sorgenfrei Schmuckmanufaktur, Germany :) THANK YOU, Claudia! I will be purchasing additional sets for my daughter and a few friends very soon."
211,"Love these earrings! They are beautiful and exactly as pictured. A little hard at first to figure out how to get them to stay up, but a little adjusting and they stay in place. I purchased a pair for two of my friends as well!"
212,"It's so pretty. 
Thank you"
213,"I love them! Very pretty, moonstone is MUCh shinier than anticipated!"
214,They are beautiful!!
215,Love these
216,"Die Ohrringe sind wunderschön, ein richtiger Hingucker am Ohr.
Habe sofort Komplimente bekommen. 
Danke"
217,"Love my Moon phase earrings , fast delivery too 🙂 thank you."
218,Gorgeous!!
219,"Wunderschöne Ohrringe, der Verlauf am Ohr lang macht die Stecker wirklich besonders und ein Hingucker!"
220,Earrings are beautiful and light weight. Even more beautiful on! ❤️
221,"Wie alle Teile, die ich von Villa Sorgenfrei habe: Einfach wunderschön und besonders. Komme wieder!!!"
222,Gorgeous earrings! Bought for my sister who loves the moon. The opals are gorgeous! Very true to the pictures!
223,Exactly what I wanted for this girl. ❤️
224,"So beautiful!
Arrived very quickly from overseas
I love them"
225,"I am beyond satisfied with this purchase. For coming from over seas, the shipment seemed to go extremely fast! I wear them every day and have no issues with dullness or them turning my ear lobes green (which is always a bonus haha!) thank you so much!!!"
226,These climbers are incredible!  They have a deep gold shine and the opal catches the light in such a lovely way.  They arrived rather quickly and well packaged.  Thank you so much.
227,"Schön, leider etwas matt das gold, das war mir nicht ganz so deutlich geworden auf dem Bild. Sonst echt tolle Ohrringe"
228,Love these beautiful climbers and delivery was so quick.
229,Beautiful!
230,I love these ear climbers. True to description and photo. Very comfortable to wear. I will order from them again and again.
231,"War punktgenau da. Hat als Geschenk sehr gut gefallen. 
Macht Lust auf mehr ."
232,"My second pair :) Love them SO much, thank you!"
233,They are simply stunning! Bought them along with the matching  ring and  bangle. Perfect!
234,"Sehr sehr schöne Ohrringe. Ich hätte mir nur eine schönere Verpackung gewünscht.. die Schachtel wirkt leider nicht so hochwertig, wie es das schöne Produkt verdient hat."
235,"Wore them for about two days and absolutely loved them. Unfortunately they broke as I took them off on the third day. 

Edit: The shop owner was extremely considerate and thoughtful. She reached out to me and very kindly was able to resolve the issue. I would recommend the shop to others not only because of the beautiful pieces but especially because of the kind shop owner, Claudia."
236,I get so many compliments on these earrings!!!!!!!!!!!!!!1
237,Just as pictured and so beautiful! I love them so much!
238,Stunning 💕
239,"Absolutely amazing and fantastic quality! Exceeded expectations, thank you!"
240,Bestellung wurde sehr schnell geliefert und war schön verpackt.  Sehr schöne Ohrklemmen.
241,"Wunderschön und tolle Idee..
ideal auch einzeln als Mitbringsel"
242,"Sie sind wirklich wunderschön! Besonders der Glasopal, es sieht genau wie auf dem Foto aus.
Die Lieferung war auch nur einen Tag gedauert."
243,"I LOVE these earrings, they're exactly what I wanted and they're beautiful."
244,Absolutely love them. Thank you!
245,Communications could not have been better and my daughter was delighted with these ear climbers.  The extra little items added an extra bit of excitement also.  Thank You !!!
246,Superschön! Ich freu mich schon auf das Gesicht des Geburtstagskindes...
247,"Die Ohrklemmen sind sehr schön gearbeitet, und sie passen hervorragend, sitzen fest und sicher, aber drücken nicht."
248,Super schön! Gut zu tragen!
249,"The earrings are absolutely lovely and exactly as pictured.  Comfortable to wear. Very much appreciate the effort in getting these across the Atlantic in time- thank you, Claudia!"
250,Der Artikel ist schnell verschickt und zugestellt worden. Jetzt freue ich mich über die schönen Ohrklemmen :-)
251,These are gorgeous.
252,Beautiful earrings. Will wear them often. Quick delivery. Well made. Will deal with this dealer again. A+++++
253,Beautiful! Seller was very communicative with shipping updates/delays due to COVID and international shipping. Definitely recommend.
254,"Wunderschön! Genau wie auf den Bildern 😍
Und super verarbeitet"
255,"Ganz wunderbare Ohrringe! Sehr liebevoll verpackt, toller Kundenserivce!"
256,Superschöne Ware! Sehr schneller Versand! 1000 Dank!
257,"Ohrringe sind wunderschön aber sie hängen/fallen mir immer wieder runter... Ich denke das mein Ohrläppchen zu schmal dafür ist.. Aber an sich wunderschöne Ohrringen, qualitativ und schön"
258,"Der Versand war super schnell, mein Schmuck kam gut verpackt bei mir an und uch bin ganz verliebt in meine Mondphasen Ohrklemmen!"
259,"Parfaites, très jolies et rapidement livrées ! Perfect !"
260,Zeitnahe Lieferung. Apart auffallend wirkende Ohrringe.
261,Beautiful and gorgeous
262,Absolutely stunning. Beautiful craftmanship! And super fast shipping - thank you!
263,"Sehr schöner Ohrring und Stein, hält nur manchmal nicht optimal an meinem Ohr (rutscht herunter)"
264,Beautiful! I get so many compliments!
265,Speedy delivery and beautiful piece!!! Also wrapped in very cute packaging.
266,Beautiful and well made.
267,"Wunderschöne Ohrringe, schneller Versand🌞🌙🌟"
268,Sehr schöne Ohrringe und ein toller Verkäufer!
269,As described. Beautiful purchase. Love them. Good shipping time.
270,Beautifully crafted concept. Absolutely Love these earrings - Thank You!
271,"Absolutely love how they look & have begun wearing them as my new staple accessory. I don’t think I have sensitive ears but I did notice that th finish has already begun to wear off on the inside & is turning my ear piercing green, which I’m not too fond of"
272,"I ordered one in brushed silver, one in brushed gold and one in flat silver and the people I gave them to loved them and I kept the gold one for myself. 
Even though it arrived after the holidays we were all very pleased."
273,Sehr schöne Ohrstecker! Die Lieferung war sehr schnell und unkompliziert. Toller und netter Kundenservice!!!!!!!!!!!!
274,"Habe sofort ein Kompliment bekommen, wirklich wunderschön!"
275,Super quick delivery. BEAUTIFUL earrings. I wear them almost daily
276,I bought this for my friend and she loved it. There was some issues with the shipping but Claudia was very helpful. I would definitely recommended this shop!!
277,Zauberhafte Ohrringe! Vielen Dank!
278,These are nice quality and absolutely adorable
279,"Wunderschöne Ohrringe!
Tausend Dank!"
280,Stunning! They look exactly like the picture. Not heavy and stay in you ear well. Delivery was pretty fast as well.
281,"Beautiful, arrived on time, girlfriend loved them"
282,Beautiful earrings! They are very unique and fit nicely!
283,"Wunderschöne ausgefallene Ohrstecker/-klemmen,alles bestens gelaufen"
284,Lovely earrings! One thing to beware is that these funky bars do not hold very well and my mother lost one the very first time she was wearing it. Highly recommend purchasing little rubber backers to add to the bar to hold these in place.
285,Beautiful earrings.  Well made and well worth the wait due to the virus.  Thanks!
286,My daughter loves them!  Came quickly and well packaged. TY!
287,"Schnelle Lieferung, gute Verpackung, schöne Ware."
288,Really beautiful and arrived very quickly. This piece is a gift and it will not disappoint.
289,"Sehr schöne Ohrringe, liebevolle Verpackung, schneller Versand!"
290,Lovely! Arrived very quickly and I’m very pleased with them.
291,"These are lovely and simple, just as pictured and described, and were shipped very quickly in time for Christmas even though they had a long trip across the Atlantic. Danke sehr!"
292,"Schnelle Lieferung, sehr schön und zierlich, gut anzupassen"
293,Einfach wunderschön ... alleine diese Idee der Anreihung des wachsenden Mondes ... dies wird sicher eine erste Bestellung sein :)
294,"These ear climbers are super pretty, I love the style but for some reason they hurt my ears and caused lots of irritation. I do not have sensitive skin and always clean earrings before I wear them so I’m not sure what the issue is for me. Anyway, I’ve ordered the sterling silver ones of the same story and hope my ears are happier. I really like this shop, such pretty and interesting jewelry!"
295,Vielen Dank - tolles Schmuckstück!
296,"Sehr hübsch. Wie angegeben, einwandfreie Lieferung, gerne wieder"
297,Son muy finos. Y llegaron en la fecha previstas
298,Adore these earrings! Thank you!
299,"My daughter loved these, I gave them as a gift.
They were shipped and received quickly. Thank you."
300,Darling earrings. Would recommend for the climber style choice.
301,Love!  Bought these for my friend and was a little nervous because she has small ears but they look adorable on her and she loves them.
302,sympa à porter fin et coloré discretement
303,"Very pretty, fast shipping!"
304,Schnelles Versenden und sehr hochwertiger Schmuck - gerne wieder! :)
305,"Great, but a pair I bought a while back are discolouring."
306,Absolutely gorgeous! I bought this as a Christmas gift for my partner and she hasn't stopped wearing them. Thank you!
307,Absolutely gorgeous the earrings were exactly as pictured
308,"The design is cute, this is CLEARLY not opals. They look like plastic buttons."
309,"Really nice + comfortable earrings, I love them!"
310,"Beautifully and thoughtfully packaged, shipped on time; Unfortunately the earrings don't lay completely flat upwards along the ear meaning that I had to make sure to readjust ie. reposition them onto my ear. I think gently pushing down on the bracket should help keep it in place in future. 
Still a pretty and unique piece of jewelry."
311,"Great earrings - they were a gift, and she loves them! Many thanks!"
312,Beautiful art worn as earrings!
313,"These are amazing!
I bought them as a gift and almost kept them myself because I loved them so much!
Great quality, got here very quickly, 10/10 :)"
314,Gorgeous earrings exactly as pictured.
315,"Very pretty,  it I thought there would be more moon stones"
316,very cute and fast shipping
317,"Very pretty, I know my wife will love them!"
318,Its a gift for a friend . It very pretty  and unique  design. Great buy
319,"Beautiful earrings, fast shipping- thank you!"
320,Very communicative with shipping delays that were a result of Covid. Thanks so much!
321,"Although there was a problem with my initial purchase, the shop owner contacted me quickly to resolve. Customer service is awesome, and jewelry is suoer cute :)"
322,"I’m happy with the earrings although I’m still trying to find a way to wear them that I do not need to put them back in place from time to time.
Not sure if they fit every type or ear.
Still I like them a lot, they are as they look in the pictures"
323,absolutely lovely jewelery and amazing service as usual. thank you!
324,Gift for my friend for her birthday. She had her baby on a full moon.🌕
325,really pretty and they actually stay up on your ears
326,They look beautiful & arrived very quickly!
327,Beautiful product and fast shipping! Thanks.
328,Earrings were a gift-arrived in plenty of time-had a slight issue but it was resolved quickly with no problems-very nice!
329,My girlfriend loved it
330,They were exactly what I was looking for and wanted
331,"Perfect gift, she was SO thrilled."
332,Nice earrings but the mechanism that holds them along my ear lobe doesn’t always hold and they slip down.
333,"Purchased as a gift for a friend who loooved this pair, wears separately at times too"
334,Earrings were poorly manufactured. Broken out of packaging. Cute concept
335,"Pretty but needed to return product to  arriving too late. Now getting frustrated trying to see if this is resolves I keep getting the ring around and people keep having.me email different folks to find out how to return these earrings,  I would not reccomend ordering from this site again if I can't get it resolved in the week ne"
336,Very nice.  Received on time as well.
337,unfortunately it broke before I could use it :(
338,"The packing was nice, but one of the earrings was bent and I still wore it; however the earring fell off and I lost it the same day i received it. The earring that was bent would not stay in my ear."
